ID_HECHOS_FATALES,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
2018-0074,CONDUCTOR,MASCULINO,25,2018-07-14 00:00:00
2018-0075,PEATON,MASCULINO,23,2018-07-15 00:00:00
2018-0076,CONDUCTOR,MASCULINO,73,2018-07-16 00:00:00
2018-0077,CONDUCTOR,MASCULINO,58,2018-07-17 00:00:00
2018-0078,PEATON,MASCULINO,27,2018-07-21 00:00:00
2018-0079,PEATON,MASCULINO,SD,2018-07-23 00:00:00
2018-0080,PEATON,MASCULINO,26,2018-07-25 00:00:00
2018-0081,PEATON,MASCULINO,35,2018-07-29 00:00:00
2018-0082,CONDUCTOR,FEMENINO,17,2018-08-01 00:00:00
2018-0083,CONDUCTOR,MASCULINO,SD,2018-08-02 00:00:00
2018-0084,PEATON,MASCULINO,45,2018-08-03 00:00:00
2018-0085,PASAJERO_ACOMPAÑANTE,FEMENINO,22,2018-08-03 00:00:00
2018-0085,CONDUCTOR,MASCULINO,30,2018-08-03 00:00:00
2018-0086,PEATON,MASCULINO,40,2018-08-10 00:00:00
2018-0087,PEATON,MASCULINO,75,2018-08-20 00:00:00
2018-0088,CONDUCTOR,MASCULINO,SD,2018-08-17 00:00:00
2018-0089,PEATON,MASCULINO,80,2018-08-17 00:00:00
2018-0090,CONDUCTOR,MASCULINO,27,2018-08-18 00:00:00
2018-0091,PASAJERO_ACOMPAÑANTE,FEMENINO,23,2018-08-19 00:00:00
2018-0092,CONDUCTOR,MASCULINO,23,2018-08-20 00:00:00
2018-0093,PEATON,MASCULINO,24,2018-08-20 00:00:00
2018-0094,CONDUCTOR,MASCULINO,32,2018-08-23 00:00:00
2018-0095,PASAJERO_ACOMPAÑANTE,FEMENINO,49,2018-08-26 00:00:00
2018-0096,PEATON,MASCULINO,39,2018-08-31 00:00:00
2018-0097,CONDUCTOR,FEMENINO,35,2018-09-02 00:00:00
2018-0098,CONDUCTOR,MASCULINO,55,2018-09-09 00:00:00
